ID,碑名,建立年,所在地,災害名,災害種別,伝承内容,緯度,経度
02362-001,水害記念碑,1936,青森県南津軽郡大鰐町大字大鰐字前田,洪水（1935年8月23日）,洪水,昭和10年（1935）8月21日から23日午前０時まで碇ヶ関山に降り続いた333ミリの集中豪雨により、22日午前には大鰐町は床下浸水となった。23日午前0時30分に平川（当時は平賀川）で月見橋から相生橋に至る堤防が決壊し、濁流が大鰐駅まで30軒余を流した。この災害で、23名の人命が奪われ、重軽傷者51名の被害となった。,40.520581,140.570916
02412-001,震嘯災記念碑,1933,青森県上北郡おいらせ町松原一丁目,昭和三陸地震(1933年3月3日),地震・津波,昭和8年（1933）3月3日午前２時30分、大地震が発生した。その後、海のかなたから大きな音が響くと瞬く間に大津波が襲来し、一瞬で多くの命、財産を奪った。この昭和三陸地震の災害を忘れることなく警戒と予防に努めること。「地震海鳴りほら津波」,40.607483,141.45638
02442-001,十勝沖地震慰霊碑,1969,青森県三戸郡五戸町大字豊間内字地蔵平,1968年十勝沖地震(1968年5月16日),土砂災害・地震,昭和43年（1968）5月16日午前9時49分ごろ、青森県を中心に東北、北海道の一帯は激しい地震に襲われた。この1968年十勝沖地震によって、五戸町では、家屋の倒壊や山崩れ、田畑の埋没など大きな被害が発生し、土砂災害により11名の命が奪われた。,40.510093,141.323752
02446-001,海嘯記念碑,1933,青森県三戸郡階上町大字道仏字大蛇（大蛇小学校）,昭和三陸地震(1933年3月3日),地震・津波,昭和8年（1933）3月3日午前２時30分、昭和三陸地震が発生、その約40分後に大津波が襲来した。階上では死者行方不明者3名、流失家屋199戸、そのほか漁船の流失など大きな被害があった。住民は、この災害を心に深く刻みつけて将来に備えること。,40.468401,141.652487
02446-002,東日本大震災記念碑,2011,青森県三戸郡階上町大字道仏字大蛇（大蛇小学校）,東日本大震災(2011年3月11日),地震・津波,平成23年（2011）3月11日、東日本大震災の大津波襲来から尊い人命を守ったのは、 過去の津波経験から生まれた言葉 「ほら逃げろ津波の時は線路まで」。階上町では10mを超える津波が襲い、家屋の倒壊や漁船の転覆など多くの被害があったが、死者、行方不明者はいなかった。,40.468258,141.65257
02446-003,震嘯災記念碑,1933,青森県三戸郡階上町大字道仏榊山,昭和三陸地震(1933年3月3日),地震・津波,昭和8年（1933）3月3日午前２時30分、大地震が発生した。その後、海のかなたから大きな音が響くと瞬く間に大津波が襲来し、一瞬で多くの命、財産を奪った。この昭和三陸地震の災害を忘れることなく警戒と予防に努めること。「地震海鳴りほら津波」,40.459903,141.664839
03202-001,大海嘯記念（津波記念碑）,1934,岩手県宮古市田老字館が森１５５番地２,昭和三陸地震(1933年3月3日),地震・津波,「大地震の後には津波が来る。ここで1時間我慢せ。高い所へにげろ。」昭和8年(1933)3月3日、午前2時30分ごろ昭和三陸地震が発生し、続いて大津波が襲来した。田老村の被害は、流失505戸、溺死者911名、負傷者122名。,39.73608,141.965665
03202-002,大海嘯記念（津波石碑）,1934,岩手県宮古市日立浜町（浄土ヶ浜屏風岩の下）,昭和三陸地震(1933年3月3日),地震・津波,「大地震の後には津波が来る。遠くへ逃げるより高い所へ。」昭和8年(1933)3月3日、午前2時30分ごろ昭和三陸地震が発生し、続いて3時ごろ大津波が襲来した。宮古町の被害は幸い少なく、流失4戸、溺死者2名。,39.652627,141.978325
03202-003,大津浪記念碑（津波石碑）,不明(1934？）,岩手県宮古市重茂姉吉,明治三陸地震（1896年6月15日）　昭和三陸地震（1933年3月3日）,地震・津波,「高き住居は児孫の和楽、想へ惨禍の大津浪、此処より下に家を建てるな」重茂姉吉地区の生存者は明治三陸地震(1896)2人、昭和三陸地震(1933)4人、2度とも集落は全滅した。碑の教訓を守り、東日本大震災では家屋に被害はなかった。,39.534243,142.04534
03202-004,海嘯死者供養・三陸海嘯拾三回忌,1896,岩手県宮古市田老字摂待,明治三陸地震(1896年6月15日),地震・津波,明治29年(1896)6月15日、午後7時32分ごろ発生した震度2程度の緩やかな地震から約30分後に大津波が襲来し、三陸沿岸で2万2千もの命が奪われた。旧田老村摂待地区の死者51名、近隣地区3名の海嘯死者供養碑と、宮城県・岩手県・青森県及び地元の下摂待地区の罹災戸数/死者数の記録を刻む十三回忌の碑（1908建立）が並んでいる。,39.812591,141.961454
03202-006,東日本大震災鎮魂慰霊之碑,2014,岩手県宮古市田老字向新田,東日本大震災(2011年3月11日),地震・津波,平成23年(2011)3月11日の東日本大震災で小堀内漁港は最大遡上高38ｍの津波を記録、小堀内地区は地区民6名と消防団員3名の犠牲者がでた。大津波はまた必ずやってくる、あの日を語り継ぐとの誓いが背面にある。,39.789173,141.981921
03202-007,海嘯横死者之碑,不明(1896？）,岩手県宮古市田老字和野（清水端公葬地）,明治三陸地震(1896年6月15日),地震・津波,"明治29年(1896)6月15日に発生した明治三陸地震津波では岩手県で1万8千人もの命が奪われた。旧田老村の被害、死者1,900人余り、流失家屋400余りの記録を銘記し、姓名不詳の死者を埋葬して精霊を祭る。",39.749178,141.98216
03202-008,海嘯（つなみ）鎮魂の詩,2014,岩手県宮古市田老字青砂里（三王園地）,東日本大震災(2011年3月11日),地震・津波,昭和三陸地震津波(1933年)を経験し、「津波てんでんこ」の紙芝居で津波の教訓を伝承しつづけた田畑ヨシさんの詩碑。東日本大震災（2011年）のあと、津波の悲しみと無念、人の優しさと思いを歌い上げる。田老地区は、死者181人(認定死亡者を含む)、被災住家801戸の被害であった。,39.73491,141.98109
03202-009,田老海岸堤防（沿革の碑）,不明,岩手県宮古市田老字川向,昭和三陸地震(1933年3月3日),地震・津波,旧田老村は慶長16年(1611)より昭和8年(1933)までに7回の津波被害を受け、特に慶長、明治、昭和の被害が凄惨を極めた。昭和8年(1933)3月3日の昭和三陸地震津波では、流失倒壊505戸・死者911人の被害に見舞われ、1934年より海岸堤防の建造に着手し、1958年に完成した。,39.735269,141.97204
03202-010,大海嘯紀念碑,不明(1896？),岩手県宮古市田老字西向山（樫内公葬地）,明治三陸地震(1896年6月15日),地震・津波,"宮古市田老･樫内地区の公葬地にある明治三陸地震津波(明治29年(1896)6月15日)の記念碑である。この津波により岩手県で1万8千人もの命が奪われた。樫内をふくむ旧田老村で、死者2,650人余り、流失家屋130戸（半壊不明）の被害が出た。",39.709196,141.973993
03202-011,海嘯記念,1918,岩手県宮古市崎山第4地割（女遊戸地区）,明治三陸地震(1896年6月15日),地震・津波,女遊戸(おなつぺ)地区では、明治29年(1896)6月15日の明治三陸地震津波で戸数21戸のうち流失家屋19戸、溺死者63名をだすかつてないほどの惨状を極めた。,39.691791,141.958846
03202-012,三陸フェーン大火記念碑,1981,岩手県宮古市崎山第6地割（女遊戸地区）,三陸フェーン大火(1961年5月29日),その他,昭和36年(1961)5月29日、台風4号崩れの低気圧通過に伴い、風速20ｍ以上の強風と気温29.6度を記録した。このフェーン現象による異常乾燥・強風で山火事が拡大し、宮古市では田代地区から津軽石地区まで延焼し、女遊戸(おなつぺ)地区は全戸焼失、野も山も焦土と化した。,39.690714,141.960209
03202-013,大津波記念碑,2012,岩手県宮古市崎山第16地割（日出島地区）,東日本大震災(2011年3月11日),地震・津波,平成23年(2011)3月11日東日本大震災の記念碑である。碑のある地点まで津波が襲来し、日出島地区は犠牲者10名、家屋損壊4棟、漁港にも甚大な被害があった。,39.67278,141.978644
03202-014,海嘯記念碑,1933,岩手県宮古市崎鍬ヶ崎第8地割（大沢地区）,昭和三陸地震(1933年3月3日),地震・津波,昭和8年(1933)3月3日午前2時30分に上下動の強い地震(昭和三陸地震)があり、3時に大津波が襲来した。「大地震の後には津浪が来る、地震があったら此処へ集れ」と教訓を伝える碑で、背面に旧崎山村で被害戸数101戸、負傷者1名の被害を記録。,39.661032,141.966563
03202-015,海嘯記念碑,1908,岩手県宮古市蛸の浜町（心公院入口）,明治三陸地震(1896年6月15日),地震・津波,明治29年(1896)6月15日の明治三陸地震では、津波は3回襲来し、2回目が最もひどいものだった。旧鍬ヶ崎町で死者128人、流失家屋277戸、船舶276艘を失う惨状となった。,39.650719,141.969943
03202-016,1960年5月24日チリ地震津波記念碑,不明(1960？),岩手県宮古市日立浜町（浄土ヶ浜屏風岩の下）,チリ地震(1960年5月24日),津波,昭和35年(1960)年5月24日早朝、突如大津波が襲った。前日南米チリで発生したマグニチュード9.5の地震による津波だった。「地震がなくとも潮汐が異常に退いたら津波が来るから早く高い所に避難せよ」の教訓を刻む。,39.65266,141.978397
03202-017,一本柳の跡,1989,岩手県宮古市田の神一丁目,慶長三陸地震(1611年12月2日),地震・津波,「江戸時代、宮古に大被害を与えたヨダ(津波)があり、山口川を逆流した波に乗ってここにあった柳の大木に舟が留まった」との言い伝えを刻む碑。慶長16年10月28日(1611年12月2日)の慶長三陸地震の大津波と言われている。,39.646861,141.940446
03202-018,三陸大海嘯横死精霊,1896,岩手県宮古市藤原三丁目（観音堂）,明治三陸地震(1896年6月15日),地震・津波,明治29年(1896)6月15日の明治三陸大津波の際、他所で死亡した8名の氏名・年齢・場所を記銘し供養している。宮古市藤原の若者中が観音堂に建立した。藤原は防潮林のため被害が少なく、床上浸水であった。,39.635047,141.962229
03202-019,海嘯紀念碑,1902,岩手県宮古市磯鶏石崎,明治三陸地震(1896年6月15日),地震・津波,明治29年(1896)6月15日は旧暦の端午の節句（5月5日）にあたり、家々では祝宴の最中に明治三陸地震が発生し、2回の大津波があった。高浜、金浜の2区と磯鶏区の石崎、飛鳥方、神林、白浜の4箇所で流失家屋121戸、死者96名の被害を伝える。磯鶏区は死者58人、流失家屋53戸、半壊10戸の被害であった。,39.633678,141.962765
03202-020,三陸大海嘯記念碑,1934,岩手県宮古市磯鶏石崎,昭和三陸地震(1933年3月3日),地震・津波,昭和8年(1933)3月3日の昭和三陸地震津波の記念碑で、「大地震の後には津浪が来る、地震があったら高い処に逃ろ」との教訓ともに、旧磯鶏村の被害：40戸のうち流失7戸、倒壊33戸、死者2名、負傷者6名を伝える。,39.633616,141.962768
03202-021,大津波記念碑,2016,岩手県宮古市金浜第１地割（稲荷神社入口）,東日本大震災(2011年3月11日),地震・津波,東日本大震災(平成23年(2011)3月11日)の記念碑。添え碑に「とにかく高い所へ逃げろ、逃げたら戻るな」の教訓、金浜地区の死者28名、住家全壊129軒の被害を刻む。,39.597515,141.942447
03202-022,チリ地震津波記念碑,1961,岩手県宮古市金浜第１地割（稲荷神社入口）,チリ地震(1960年5月24日),津波,"昭和35年(1960)5月24日未明に前触れ無く襲来したチリ地震津波の記念碑で、「外国地震でも津波は来る。潮がめだってひいたら高い所へ」の教訓を刻む。高浜･金浜･津軽石･赤前が被災し、宮古市全体で、罹災世帯853戸、罹災者4,401名の被害。東日本大震災の津波で流失した後、当地に移転。",39.597515,141.942421
03202-023,三陸海嘯横死者精霊,不明(1896？),岩手県宮古市金浜第２地割（江山寺入口）,明治三陸地震(1896年6月15日),地震・津波,明治29年(1896)6月15日、午後7時32分ごろ発生した震度2程度の緩やかな地震(明治三陸地震)の後に大津波が襲来し、三陸沿岸で2万2千人、岩手県で1万8千人もの命が奪われた。,39.59595,141.943386
